"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "POSTSEASON" "post"
"Abilene_Christian" "Slnd" 28 16 12 0.571428571428571 0.2423 -11.3 69.8 96.5 106.6 0.905253283302064 50.4 51.4 0.980544747081712 20.3 21.6 0.939814814814815 27.3 29.7 31.5 43.2 0.729166666666667 51.9 52.3 31.8 33.2 1971 10 276 0.489 1 0 0 "no_postseason" "no"
"Air_Force" "MWC" 29 12 17 0.413793103448276 0.3596 -11.8 66.9 99.8 105 0.95047619047619 47.6 54.9 0.867030965391621 18.8 20.6 0.912621359223301 27.4 28.8 32 33.3 0.960960960960961 46.8 51.3 32.5 39.7 1958 62 1685 0.437 4 0 0 "no_postseason" "no"
"Akron" "MAC" 31 14 17 0.451612903225806 0.3634 -12.1 68.9 102.4 107.5 0.952558139534884 51.5 54.2 0.950184501845018 19.8 18.5 1.07027027027027 27 28.3 31.4 39.1 0.80306905370844 49.9 54.1 35.6 36.1 1902 69 1575 0.589 4 0 0 "no_postseason" "no"
"Alabama" "SEC" 36 20 16 0.555555555555556 0.8074 -1.1 69.9 107.9 95.3 1.13221406086044 51.9 47.8 1.08577405857741 20.3 18.7 1.0855614973262 29.4 30.9 41.9 36.5 1.14794520547945 53.5 46.9 32.6 32.8 2000 21 591 0.384 1 0 0 "R32" "yes"
"Alabama_A&M" "SWAC" 31 3 28 0.0967741935483871 0.0419 -23 67.5 87.6 115 0.761739130434783 45 54 0.833333333333333 24.2 16.6 1.4578313253012 30 32.5 31.4 29.8 1.05369127516779 44.8 52.3 30.3 38.4 1913 107 2737 0.615 21 0 0 "no_postseason" "no"
"Alabama_St." "SWAC" 31 8 23 0.258064516129032 0.0858 -18.2 70.2 94.3 115.9 0.813632441760138 46.5 51.9 0.895953757225434 19.9 18.3 1.08743169398907 31.9 34.7 35.2 46.6 0.755364806866953 45.2 49.4 32.8 37.7 1983 38 1109 0.481 4 0 0 "no_postseason" "no"
"Albany" "AE" 31 22 9 0.709677419354839 0.5371 -6 67.4 106.1 104.8 1.01240458015267 50.5 50.6 0.99802371541502 17.5 17 1.02941176470588 34.6 24.3 37 27.1 1.36531365313653 48.7 51.6 36.8 32.6 2000 21 641 0.498 5 0 0 "no_postseason" "no"
"Alcorn_St." "SWAC" 28 11 17 0.392857142857143 0.0992 -16.4 69.2 94.4 114.4 0.825174825174825 48.3 52.1 0.927063339731286 20.8 17.9 1.16201117318436 27.1 33.1 33.7 40.1 0.840399002493766 47.8 50.4 32.7 36.3 1978 43 1256 0.431 6 0 0 "no_postseason" "no"
"American" "Pat" 30 6 24 0.2 0.1649 -19 67.6 96.5 111.1 0.868586858685869 50.7 54.8 0.925182481751825 20.4 20.4 1 23.8 31.4 30.4 40.7 0.746928746928747 50.7 53.6 33.8 38.3 1967 54 1515 0.49 3 0 0 "no_postseason" "no"
"Appalachian_St." "SB" 31 15 16 0.483870967741935 0.3985 -12.4 71.2 102.5 106.3 0.964252116650988 49.9 51.3 0.97270955165692 18.9 17.2 1.09883720930233 29.5 25.6 36.8 36.6 1.00546448087432 49.9 48.7 33.3 37.9 1974 47 1366 0.487 2 0 0 "no_postseason" "no"
"Arizona" "P12" 35 27 8 0.771428571428571 0.8528 3.8 68.3 117 100.4 1.16533864541833 56.3 49.9 1.12825651302605 17.5 16.7 1.04790419161677 33.2 25.1 36.9 31.2 1.18269230769231 56.7 47.7 36.9 35.8 1905 113 2735 0.657 35 4 1 "R64" "yes"
"Arizona_St." "P12" 32 20 12 0.625 0.8089 -1.2 72.7 115.7 102.1 1.1332027424094 53.8 50.6 1.06324110671937 14.7 20.4 0.720588235294118 28 30.6 41.3 32.7 1.26299694189602 53.2 50.2 36.4 34.2 1912 105 2552 0.532 16 0 0 "R68" "yes"
