"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "post"
"Abilene_Christian" "Slnd" 15 7 8 0.466666666666667 0.3551 -3.5 69.8 93.8 98.8 0.949392712550607 47 52 0.903846153846154 20.8 24.9 0.835341365461847 28.3 28.1 37.3 45.9 0.812636165577342 47.9 54.9 30.1 30.7 1971 10 276 0.489 1 0 0 NA
"Air_Force" "MWC" 15 9 6 0.6 0.5085 -5.1 68.8 111.2 110.8 1.00361010830325 56.1 55.6 1.0089928057554 18.3 16.5 1.10909090909091 22.1 23 40.6 28 1.45 52.6 55.1 40.5 37.4 1958 62 1685 0.437 4 0 0 NA
"Akron" "MAC" 15 12 3 0.8 0.8104 0.2 71.7 105.8 93.3 1.13397642015005 51.4 44.3 1.16027088036117 19.4 19.4 1 27.5 27.8 37 30 1.23333333333333 46.8 44.4 38 29.4 1902 69 1575 0.589 4 0 0 NA
"Alabama" "SEC" 13 7 6 0.538461538461538 0.8203 -1.8 76.5 110.1 96.5 1.14093264248705 52.8 47.6 1.10924369747899 20.2 17.8 1.13483146067416 30 28.4 33.4 32.4 1.03086419753086 50.6 48.7 36.9 30.5 2000 21 591 0.384 1 0 0 NA
"Alabama_A&M" "SWAC" 13 4 9 0.307692307692308 0.1219 -5.7 71.7 91.4 108.5 0.842396313364055 42.8 55.5 0.771171171171171 15 18.6 0.806451612903226 22.8 29.4 26 32 0.8125 43.9 58.2 27.2 34.2 1913 107 2737 0.615 21 0 0 NA
"Alabama_St." "SWAC" 15 1 14 0.0666666666666667 0.0935 -8.7 70.4 87 106 0.820754716981132 43.1 56.9 0.757469244288225 22.2 20.5 1.08292682926829 22.3 31.7 30.9 37.1 0.83288409703504 42 56.7 30 38.1 1983 38 1109 0.481 4 0 0 NA
"Albany" "AE" 16 6 10 0.375 0.3177 -5.6 68.6 94.6 101.1 0.935707220573689 49.3 47.3 1.04228329809725 20.3 17.5 1.16 23.6 26.3 34 28.2 1.20567375886525 49.4 46.7 32.8 32 2000 21 641 0.498 5 0 0 NA
"Alcorn_St." "SWAC" 13 5 8 0.384615384615385 0.1469 -4.7 70.6 91.3 106.4 0.858082706766917 43.1 54.5 0.790825688073394 22.9 19 1.20526315789474 27.2 29.7 26.3 38.7 0.679586563307494 38.4 55 33.8 35.7 1978 43 1256 0.431 6 0 0 NA
"American" "Pat" 13 7 6 0.538461538461538 0.3828 -5.7 70.3 99.1 103.3 0.959341723136496 51.4 50.9 1.0098231827112 19.1 18.7 1.02139037433155 25.6 29 27.5 37.6 0.731382978723404 50.6 49.5 35.2 36.1 1967 54 1515 0.49 3 0 0 NA
"Appalachian_St." "SB" 14 9 5 0.642857142857143 0.4718 -3.6 69.7 94 94.9 0.990516332982086 48 46.9 1.02345415778252 20.2 20.7 0.975845410628019 26.5 26.9 36.7 26 1.41153846153846 49.4 47 30.6 31.1 1974 47 1366 0.487 2 0 0 NA
"Arizona" "P12" 14 11 3 0.785714285714286 0.9168 0.5 71.3 111.4 90.4 1.23230088495575 55.1 42.6 1.29342723004695 16.3 21.5 0.758139534883721 30 27.3 39.2 37.4 1.04812834224599 55 40.5 37 30.7 1905 113 2735 0.657 35 4 1 NA
"Arizona_St." "P12" 14 9 5 0.642857142857143 0.6816 0.6 73 97.7 91.4 1.06892778993435 47.7 47.4 1.00632911392405 17.3 22.6 0.765486725663717 24.9 28.5 33.5 30.9 1.08414239482201 49.7 47.9 29.3 30.9 1912 105 2552 0.532 16 0 0 NA
"Arkansas" "SEC" 13 12 1 0.923076923076923 0.8539 1.3 71.6 100.9 86.5 1.16647398843931 51 42.6 1.19718309859155 18 24.9 0.72289156626506 22.3 27.8 33.3 30.9 1.07766990291262 54.4 46.8 31 22.3 1924 97 2655 0.64 32 6 1 NA
"Arkansas_Pine_Bluff" "SWAC" 13 2 11 0.153846153846154 0.0765 -6 68.5 82.3 102.2 0.805283757338552 41.6 52.6 0.790874524714829 28.8 20.2 1.42574257425743 24.2 30.3 30.4 42.3 0.718676122931442 41.6 54.8 27.7 33.2 1999 22 649 0.302 1 0 0 NA
"Arkansas_St." "SB" 15 5 10 0.333333333333333 0.3291 -2.6 67.7 100 106.4 0.93984962406015 48.5 53.2 0.911654135338346 19.1 21 0.90952380952381 27.3 26.9 48.5 38.6 1.25647668393782 46.9 54.7 35 33.3 1971 50 1434 0.514 1 0 0 NA
"Army" "Pat" 13 4 9 0.307692307692308 0.2225 -6.4 71.5 92.5 103.2 0.896317829457364 51.6 51.5 1.00194174757282 20.4 17.8 1.14606741573034 20.8 25.9 28.9 25.3 1.14229249011858 55.4 50.4 30.7 35.2 1903 118 2501 0.496 0 0 0 NA
"Auburn" "SEC" 13 13 0 1 0.9001 3 71.8 108.8 89.8 1.21158129175947 53.1 44.4 1.19594594594595 18.3 20.6 0.888349514563107 36.6 29.1 41.6 24.9 1.67068273092369 56.8 45 32.2 28.7 1906 114 2580 0.534 10 1 0 NA
"Austin_Peay" "OVC" 16 9 7 0.5625 0.4293 -3.2 68.4 104.8 107.4 0.975791433891993 50.5 54.4 0.928308823529412 19.8 21.8 0.908256880733945 33.9 32.3 37.9 35.3 1.07365439093484 50.5 54.2 33.6 36.7 1964 57 1621 0.5 7 0 0 NA
"Ball_St." "MAC" 15 9 6 0.6 0.6629 -3.7 68.4 98.3 92.7 1.06040992448759 51.6 46.6 1.10729613733906 18.8 21.6 0.87037037037037 27.7 25.3 27.5 27.3 1.00732600732601 51.3 44.2 34.6 34.6 1972 49 1425 0.531 7 0 0 NA
"Baylor" "B12" 13 12 1 0.923076923076923 0.9318 2.6 68.3 109.8 87.5 1.25485714285714 50.1 43.1 1.16241299303944 18.4 23.3 0.789699570815451 38.5 28.6 31.4 29.7 1.05723905723906 47.9 41.4 35.8 30.9 1907 114 2735 0.498 12 2 0 NA
"Belmont" "OVC" 15 10 5 0.666666666666667 0.7017 -2.5 72 103.8 96.4 1.07676348547718 54.4 46.4 1.17241379310345 17.1 17.7 0.966101694915254 24.2 24.6 21.7 24.9 0.8714859437751 54.6 46.1 36 31.4 2000 21 649 0.653 8 0 0 NA
"Bethune_Cookman" "MEAC" 16 5 11 0.3125 0.2683 -6 73.7 96.5 105.3 0.916429249762583 45.1 49.1 0.918533604887984 18.4 20.5 0.897560975609756 28.1 31.8 31.5 38.5 0.818181818181818 43.9 52 31.6 29.1 1981 40 1172 0.363 0 0 0 NA
"Binghamton" "AE" 14 6 8 0.428571428571429 0.1136 -5.7 69.5 93.6 111.9 0.836461126005362 47.5 51.8 0.916988416988417 19.3 13.4 1.44029850746269 28.2 32.7 19 28.5 0.666666666666667 47.2 53.5 31.8 32.6 2002 19 558 0.36 1 0 0 NA
"Boise_St." "MWC" 16 10 6 0.625 0.6098 -2.2 70.6 104 100.1 1.03896103896104 50.2 51.7 0.970986460348162 16.9 19.3 0.875647668393782 23.9 22.5 38.2 23.7 1.61181434599156 51.9 53.8 31.8 31.9 1972 49 1428 0.555 7 0 0 NA
"Boston_College" "ACC" 15 9 6 0.6 0.6106 -2 71.3 96.2 92.5 1.04 46.8 47.5 0.985263157894737 20.5 23.5 0.872340425531915 24.6 30.6 31.4 27.8 1.1294964028777 47.3 46.7 30.7 32.4 1946 75 2096 0.549 18 0 0 NA
"Boston_University" "Pat" 14 5 9 0.357142857142857 0.3587 -5 68.1 99.2 104.3 0.951102588686481 49.6 51 0.972549019607843 18.1 17.5 1.03428571428571 27.5 27.4 28 28.1 0.99644128113879 52.5 51.3 29.5 33.7 1916 94 2145 0.512 7 0 0 NA
"Bowling_Green" "MAC" 13 7 6 0.538461538461538 0.5158 -2.6 70.8 101.5 101 1.0049504950495 47 48.6 0.967078189300411 14.1 18.5 0.762162162162162 26.8 27.5 26 38.7 0.671834625322997 45.8 44.1 32.7 36.8 1916 105 2585 0.54 4 0 0 NA
