"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "post"
"Akron" "MAC" 15 12 3 0.8 0.8104 0.2 71.7 105.8 93.3 1.13397642015005 51.4 44.3 1.16027088036117 19.4 19.4 1 27.5 27.8 37 30 1.23333333333333 46.8 44.4 38 29.4 1902 69 1575 0.589 4 0 0 NA
"Alabama_A&M" "SWAC" 13 4 9 0.307692307692308 0.1219 -5.7 71.7 91.4 108.5 0.842396313364055 42.8 55.5 0.771171171171171 15 18.6 0.806451612903226 22.8 29.4 26 32 0.8125 43.9 58.2 27.2 34.2 1913 107 2737 0.615 21 0 0 NA
"Arizona" "P12" 14 11 3 0.785714285714286 0.9168 0.5 71.3 111.4 90.4 1.23230088495575 55.1 42.6 1.29342723004695 16.3 21.5 0.758139534883721 30 27.3 39.2 37.4 1.04812834224599 55 40.5 37 30.7 1905 113 2735 0.657 35 4 1 NA
"Arkansas" "SEC" 13 12 1 0.923076923076923 0.8539 1.3 71.6 100.9 86.5 1.16647398843931 51 42.6 1.19718309859155 18 24.9 0.72289156626506 22.3 27.8 33.3 30.9 1.07766990291262 54.4 46.8 31 22.3 1924 97 2655 0.64 32 6 1 NA
"Auburn" "SEC" 13 13 0 1 0.9001 3 71.8 108.8 89.8 1.21158129175947 53.1 44.4 1.19594594594595 18.3 20.6 0.888349514563107 36.6 29.1 41.6 24.9 1.67068273092369 56.8 45 32.2 28.7 1906 114 2580 0.534 10 1 0 NA
"Baylor" "B12" 13 12 1 0.923076923076923 0.9318 2.6 68.3 109.8 87.5 1.25485714285714 50.1 43.1 1.16241299303944 18.4 23.3 0.789699570815451 38.5 28.6 31.4 29.7 1.05723905723906 47.9 41.4 35.8 30.9 1907 114 2735 0.498 12 2 0 NA
"Belmont" "OVC" 15 10 5 0.666666666666667 0.7017 -2.5 72 103.8 96.4 1.07676348547718 54.4 46.4 1.17241379310345 17.1 17.7 0.966101694915254 24.2 24.6 21.7 24.9 0.8714859437751 54.6 46.1 36 31.4 2000 21 649 0.653 8 0 0 NA
"Bryant" "NEC" 16 10 6 0.625 0.4694 -3.4 72.3 97.8 98.8 0.989878542510121 49 45.1 1.08647450110865 19.2 18.7 1.02673796791444 27.8 31.8 25.8 31.3 0.824281150159744 49.9 45.8 31.9 29.2 2011 10 294 0.361 0 0 0 NA
"Butler" "BE" 15 14 1 0.933333333333333 0.9478 3.9 65.1 109.8 85.3 1.28722157092614 54.1 42.3 1.2789598108747 17.2 19.9 0.864321608040201 27.6 21.9 30.3 26.7 1.13483146067416 54.4 44 35.7 26.4 1897 122 2756 0.584 16 2 0 NA
"BYU" "WCC" 16 12 4 0.75 0.9144 0.9 69.7 110.8 90.2 1.22838137472284 56.3 47.1 1.19532908704883 17.1 18.2 0.93956043956044 20.8 25 21.8 25.4 0.858267716535433 54.4 50.2 39.1 26.9 1903 118 2939 0.626 29 0 0 NA
"Colgate" "Pat" 16 8 8 0.5 0.5076 -1 68.1 101.8 101.5 1.00295566502463 52.8 50.7 1.0414201183432 17.2 17 1.01176470588235 24.3 25.6 18.4 22.2 0.828828828828829 53.5 54.4 34.6 29.5 1901 120 2697 0.479 3 0 0 NA
"Colorado" "P12" 15 12 3 0.8 0.8704 1.3 70.4 104 88.2 1.17913832199546 49.6 45.2 1.09734513274336 20.7 21.7 0.953917050691244 31.9 22.3 40 25.9 1.54440154440154 46.8 44.4 36.3 31.3 1902 117 2543 0.523 14 2 0 NA
"Creighton" "BE" 16 12 4 0.75 0.8778 1 69.7 111.6 94 1.18723404255319 53.6 47.8 1.12133891213389 16.3 17.6 0.926136363636364 22.6 26.4 28.6 23.3 1.2274678111588 53.3 49.8 35.9 29.8 1912 100 2596 0.606 21 0 0 NA
"Dayton" "A10" 15 13 2 0.866666666666667 0.9581 2 68.5 118.3 90.1 1.31298557158713 60.3 47.8 1.26150627615063 18.5 21.1 0.876777251184834 28.1 26.3 30.1 31 0.970967741935484 62.4 45.8 38.1 34.4 1904 115 2777 0.597 18 1 0 NA
"Duke" "ACC" 14 13 1 0.928571428571429 0.9636 3.2 71.3 113.7 85.5 1.32982456140351 53.8 45 1.19555555555556 18.6 23.1 0.805194805194805 39.3 25.4 32.7 27.7 1.18050541516245 54.2 45.5 35.3 29.1 1906 115 3076 0.711 43 16 5 NA
"Florida" "SEC" 14 10 4 0.714285714285714 0.8803 0.6 66.9 108.6 91.3 1.1894852135816 49.8 44.8 1.11160714285714 17.1 19.1 0.895287958115183 31.9 26.3 37.5 34.1 1.09970674486804 50.8 45.1 31.8 29.6 1921 99 2560 0.563 22 5 2 NA
"Florida_St." "ACC" 15 13 2 0.866666666666667 0.9008 2.8 70.1 109.7 90.6 1.21081677704194 53.3 45.9 1.16122004357298 18.9 26.4 0.715909090909091 32.2 32.5 31.4 35.4 0.887005649717514 54.2 44 34.5 32.5 1957 64 1875 0.594 17 1 0 NA
"Georgia_St." "SB" 16 10 6 0.625 0.6621 -2.1 73.9 105.1 99.1 1.06054490413724 50.3 46.8 1.07478632478632 19.3 21.9 0.881278538812786 30.8 35 30.1 47.3 0.636363636363636 47.4 49 37.5 28.7 1974 47 1361 0.443 5 0 0 NA
"Gonzaga" "WCC" 17 16 1 0.941176470588235 0.903 2.7 71.9 116 95.5 1.21465968586387 56.8 48.2 1.17842323651452 15 19.6 0.76530612244898 33.4 23.4 37.9 21.2 1.7877358490566 56.4 46.1 38.4 34.8 1944 69 2021 0.653 22 1 0 NA
"Hawaii" "BW" 14 9 5 0.642857142857143 0.5955 -2.4 70.7 101.6 98.2 1.03462321792261 51.5 48.1 1.07068607068607 19.9 18.7 1.06417112299465 27.8 26.4 34.9 31.5 1.10793650793651 51.6 47.2 34.2 33.6 1971 50 1453 0.528 5 0 0 NA
"Houston" "Amer" 15 12 3 0.8 0.8525 1 67.5 114.4 98.2 1.16496945010183 49.8 44.7 1.11409395973154 17.1 16.7 1.02395209580838 41 25.4 35.1 36.8 0.953804347826087 48.7 41.9 34.8 32.7 1951 70 2052 0.601 21 5 0 NA
"Illinois" "B10" 15 10 5 0.666666666666667 0.865 0.5 69.2 106.1 90.2 1.17627494456763 50.1 46.4 1.07974137931034 20.5 18.8 1.09042553191489 39.1 25 35.1 20.3 1.72906403940887 53 45.7 28.6 31.9 1906 115 2816 0.638 30 5 0 NA
"Indiana" "B10" 14 11 3 0.785714285714286 0.8515 0.9 69.7 109.1 93.7 1.16435432230523 51.6 47.4 1.08860759493671 19.1 18.9 1.01058201058201 36.5 23.7 46 32.1 1.43302180685358 54 47.2 30.7 31.8 1901 120 2899 0.636 39 8 5 NA
"Iowa" "B10" 15 10 5 0.666666666666667 0.8837 0.4 70.7 115.3 96.6 1.1935817805383 52.2 48.7 1.07186858316222 16.6 18.9 0.878306878306878 34 27.8 33.7 25.9 1.3011583011583 52.6 49.8 34.4 31.3 1893 123 2840 0.586 26 3 0 NA
"Jacksonville" "ASun" 16 11 5 0.6875 0.329 -6 66.8 90.4 96.2 0.93970893970894 46.4 45.5 1.01978021978022 21.9 16.1 1.36024844720497 26.1 24.3 32.2 28.2 1.14184397163121 46.5 48.4 30.9 27.7 1967 54 1546 0.49 5 1 0 NA
"Kansas" "B12" 13 11 2 0.846153846153846 0.9729 3.3 70.5 115.4 84.5 1.36568047337278 56.2 43.4 1.29493087557604 20.2 21.1 0.957345971563981 31.7 26 37.8 25.1 1.50597609561753 58.1 43.8 34.8 28.7 1899 122 3145 0.726 48 15 3 NA
"Kentucky" "SEC" 14 11 3 0.785714285714286 0.8709 0.8 68.7 109.2 92.5 1.18054054054054 50.6 44.6 1.13452914798206 17.8 19.2 0.927083333333333 31.1 25.1 40.2 27.1 1.48339483394834 52.6 44.7 30.1 29.6 1903 117 3015 0.764 59 17 8 NA
"Liberty" "BSth" 17 16 1 0.941176470588235 0.8589 1.5 62.2 105.8 90.4 1.17035398230088 54.6 43.4 1.25806451612903 16.2 19 0.852631578947368 22.6 21.3 33.8 29 1.16551724137931 55.2 43.8 35.7 28.5 1989 32 971 0.482 4 0 0 NA
"Louisiana_Tech" "CUSA" 14 11 3 0.785714285714286 0.769 0.4 68.9 105.6 95.1 1.11041009463722 53 44.7 1.18568232662192 17.9 22.8 0.785087719298246 31.7 27.8 27.8 33.7 0.824925816023739 53.1 43.9 35.2 30.8 1974 47 1369 0.524 7 0 0 NA
"Louisville" "ACC" 15 12 3 0.8 0.9378 1 66.4 110 86.9 1.26582278481013 53.7 42.4 1.26650943396226 18.2 16.2 1.12345679012346 33 25.8 31.9 24.9 1.28112449799197 52.6 41.8 37 28.8 1912 106 2787 0.666 43 10 3 NA
"LSU" "SEC" 13 9 4 0.692307692307692 0.8518 0.6 71.5 113.4 97.4 1.16427104722793 55.3 46.7 1.18415417558886 19.2 19.7 0.974619289340102 33.7 28.4 29.7 22.1 1.34389140271493 58.3 43.8 32.7 34 1909 112 2760 0.569 22 4 0 NA
"Marquette" "BE" 15 11 4 0.733333333333333 0.8508 0.6 73.8 108 92.8 1.16379310344828 51.6 44 1.17272727272727 19.1 17.4 1.09770114942529 29.5 26.6 41.6 34.8 1.19540229885057 45 43.6 40.5 29.7 1917 103 2653 0.619 33 3 1 NA
"Maryland" "B10" 15 13 2 0.866666666666667 0.9025 2.8 69.8 107.3 88.4 1.21380090497738 48 43.3 1.10854503464203 18 19.5 0.923076923076923 35.4 25.5 40.4 23.3 1.73390557939914 48.6 41.4 31.4 30.9 1924 97 2611 0.603 28 2 1 NA
"Memphis" "Amer" 14 12 2 0.857142857142857 0.8637 0.8 76.2 101.9 86.8 1.17396313364055 52.4 40.3 1.30024813895782 22.1 23.3 0.948497854077253 34.7 28.4 39 32.7 1.19266055045872 52.4 39 34.8 28.3 1956 65 1958 0.669 25 3 0 NA
"Michigan" "B10" 14 10 4 0.714285714285714 0.8943 1.2 69.5 109.3 90.8 1.20374449339207 55.5 45.6 1.21710526315789 17.1 16.9 1.01183431952663 26.4 27.1 25.1 25.5 0.984313725490196 55 46.3 37.5 29 1918 103 2668 0.609 29 8 1 NA
"Michigan_St." "B10" 15 12 3 0.8 0.9491 2 72 116.4 90.3 1.2890365448505 53.7 42.1 1.27553444180523 17.4 16.9 1.02958579881657 34.9 25 37.8 29.2 1.29452054794521 54.5 42.1 34.8 28.1 1899 121 2823 0.612 33 10 2 NA
"Minnesota" "B10" 14 8 6 0.571428571428571 0.8917 0.7 68.3 111.8 93.1 1.20085929108486 51.1 45.8 1.11572052401747 19.7 18.3 1.07650273224044 33.9 26 27.3 28.8 0.947916666666667 50.5 44 34.5 33.2 1896 125 2880 0.575 14 1 0 NA
"New_Mexico_St." "WAC" 16 10 6 0.625 0.659 -2.7 65.2 101.3 95.7 1.05851619644723 49.6 49.8 0.995983935742972 22.8 22.9 0.995633187772926 35.9 24.8 27 35.9 0.752089136490251 52.6 49.8 30.8 33.2 1905 110 2629 0.589 25 1 0 NA
"North_Carolina_Central" "MEAC" 15 5 10 0.333333333333333 0.1624 -6 67.6 90 103.8 0.867052023121387 46.8 53.7 0.871508379888268 26 23.5 1.1063829787234 28.6 35.2 28.7 32.7 0.877675840978593 45.4 53.7 32.9 35.8 2011 10 309 0.602 4 0 0 NA
"Northern_Iowa" "MVC" 15 13 2 0.866666666666667 0.8269 1.1 66 110.7 96.7 1.14477766287487 53.7 48 1.11875 20.1 17.1 1.17543859649123 30.7 24.7 33.3 28.3 1.17667844522968 54 47 35.5 33.2 1981 40 1197 0.528 8 0 0 NA
"Ohio_St." "B10" 15 11 4 0.733333333333333 0.9457 1.1 67.6 112.3 87.6 1.28196347031963 54.1 42.1 1.28503562945368 20.4 20.2 1.00990099009901 33.6 27.1 39.4 28.8 1.36805555555556 52 39.8 38 30.6 1899 121 2899 0.614 33 11 1 NA
"Oklahoma" "B12" 13 10 3 0.769230769230769 0.7796 1.5 72.3 106.2 95.2 1.11554621848739 48 47.1 1.01910828025478 14.5 17.4 0.833333333333333 23 24.1 32.8 22.1 1.4841628959276 49.1 45.4 30.7 32.8 1908 113 2780 0.609 32 5 0 NA
"Oregon" "P12" 15 12 3 0.8 0.8886 2.1 66.6 115.3 96.2 1.1985446985447 56 45 1.24444444444444 17.9 18.5 0.967567567567567 33.2 31.2 29.9 27.4 1.09124087591241 54 44.9 39.9 30.1 1903 115 3045 0.551 16 2 1 NA
"Oregon_St." "P12" 14 11 3 0.785714285714286 0.8019 0.3 68.7 110.1 97.5 1.12923076923077 53.8 46.9 1.14712153518124 16.1 20.3 0.793103448275862 27.2 29 39.9 29.8 1.33892617449664 54.8 44.9 34.4 33.6 1902 119 3113 0.569 17 2 0 NA
"Penn_St." "B10" 15 12 3 0.8 0.8878 1.7 72.7 108.6 90.7 1.1973539140022 51.2 45.3 1.13024282560706 17.3 21 0.823809523809524 32.4 27.9 30.9 33.6 0.919642857142857 54.3 42.1 31.1 34.2 1897 124 2677 0.556 9 1 0 NA
"Purdue" "B10" 15 9 6 0.6 0.8925 0.8 64.5 103.5 86.1 1.20209059233449 47.9 44.8 1.06919642857143 17.8 22 0.809090909090909 35 27 25.9 29 0.893103448275862 46.7 46.6 33.2 28.2 1897 122 2855 0.641 31 2 0 NA
"Richmond" "A10" 15 12 3 0.8 0.7914 0.6 67.6 106.4 94.8 1.12236286919831 54.1 47.1 1.14861995753715 15.4 20 0.77 23 29.8 21.3 29.4 0.724489795918367 52 47.9 38.2 30.6 1913 108 2598 0.533 9 0 0 NA
