Variable;Importance;Variable;Importance;Variable;Importance;Variable;Importance;Variable;Importance
WAB;50.874;WAB;58.747;WAB;52.321;WAB;53.789;WAB;69.015
W;14.998;WL_perc;14.166;W;6.419;W;7.41;W;8.431
BARTHAG;9.241;BARTHAG;9.127;G;5.711;WL_perc;5.545;G;2.892
WL_perc;5.632;TOR_ratio;4.256;BARTHAG;4.392;ADJ_T;2.6;BARTHAG;2.527
pp100p_ratio;2.406;all_WL_perc;2.733;WL_perc;2.846;FTR;2.437;WL_perc;2.264
EFG_ratio;2.105;W;2.238;L;2.541;FTR_ratio;2.305;EFG_ratio;1.64
ADJOE;1.724;ADJDE;1.647;X2P_O;2.057;G;2.23;X3P_O;1.519
G;1.353;MM;1.011;all_games_played;1.876;pp100p_ratio;2.132;EFG_O;1.438
FTR_ratio;1.328;pp100p_ratio;0.983;first_year;1.862;BARTHAG;1.856;FTRD;1.25
X2P_D;1.109;L;0.649;EFG_O;1.66;ADJOE;1.764;ADJ_T;1.245
